source_model,target_model,sample_id,source_layer,target_layer,source_layer_name,target_layer_name,cka,transferable,n_samples
Standard,Rice2020Overfitting,-1,1,4,conv1,block2.layer.3.conv2,0.8215354681015015,1,7
Standard,Rice2020Overfitting,-1,1,5,conv1,block3.layer.1.conv2,0.8585376143455505,1,7
Standard,Rice2020Overfitting,-1,1,6,conv1,fc,0.6161080002784729,1,7
Standard,Rice2020Overfitting,-1,2,1,block1.layer.2.conv1,conv1,0.8260319232940674,1,7
Standard,Rice2020Overfitting,-1,2,2,block1.layer.2.conv1,block1.layer.2.conv2,0.958006739616394,1,7
Standard,Rice2020Overfitting,-1,2,3,block1.layer.2.conv1,block2.layer.0.convShortcut,0.8815495371818542,1,7
Standard,Rice2020Overfitting,-1,2,4,block1.layer.2.conv1,block2.layer.3.conv2,0.8362113237380981,1,7
Standard,Rice2020Overfitting,-1,2,5,block1.layer.2.conv1,block3.layer.1.conv2,0.8634749054908752,1,7
Standard,Rice2020Overfitting,-1,2,6,block1.layer.2.conv1,fc,0.5028637647628784,1,7
Standard,Rice2020Overfitting,-1,3,1,block2.layer.0.conv2,conv1,0.8466846346855164,1,7
Standard,Rice2020Overfitting,-1,3,2,block2.layer.0.conv2,block1.layer.2.conv2,0.9641271829605103,1,7
Standard,Rice2020Overfitting,-1,3,3,block2.layer.0.conv2,block2.layer.0.convShortcut,0.8990610837936401,1,7
Standard,Rice2020Overfitting,-1,3,4,block2.layer.0.conv2,block2.layer.3.conv2,0.8600642681121826,1,7
Standard,Rice2020Overfitting,-1,3,5,block2.layer.0.conv2,block3.layer.1.conv2,0.8891900777816772,1,7
Standard,Rice2020Overfitting,-1,3,6,block2.layer.0.conv2,fc,0.5100643038749695,1,7
Standard,Rice2020Overfitting,-1,4,1,block2.layer.3.conv1,conv1,0.8225327730178833,1,7
Standard,Rice2020Overfitting,-1,4,2,block2.layer.3.conv1,block1.layer.2.conv2,0.9472325444221497,1,7
Standard,Rice2020Overfitting,-1,4,3,block2.layer.3.conv1,block2.layer.0.convShortcut,0.8771364092826843,1,7
Standard,Rice2020Overfitting,-1,4,4,block2.layer.3.conv1,block2.layer.3.conv2,0.857556164264679,1,7
Standard,Rice2020Overfitting,-1,4,5,block2.layer.3.conv1,block3.layer.1.conv2,0.8909791707992554,1,7
Standard,Rice2020Overfitting,-1,4,6,block2.layer.3.conv1,fc,0.4954509437084198,1,7
Standard,Rice2020Overfitting,-1,5,1,block3.layer.1.conv1,conv1,0.8179674744606018,1,7
Standard,Rice2020Overfitting,-1,5,2,block3.layer.1.conv1,block1.layer.2.conv2,0.9281993508338928,1,7
Standard,Rice2020Overfitting,-1,5,3,block3.layer.1.conv1,block2.layer.0.convShortcut,0.8797343373298645,1,7
Standard,Rice2020Overfitting,-1,5,4,block3.layer.1.conv1,block2.layer.3.conv2,0.8117819428443909,1,7
Standard,Rice2020Overfitting,-1,5,5,block3.layer.1.conv1,block3.layer.1.conv2,0.8585819602012634,1,7
Standard,Rice2020Overfitting,-1,5,6,block3.layer.1.conv1,fc,0.5869848132133484,1,7
Standard,Rice2020Overfitting,-1,6,1,fc,conv1,0.6640056371688843,1,7
Standard,Rice2020Overfitting,-1,6,2,fc,block1.layer.2.conv2,0.7278206944465637,1,7
Standard,Rice2020Overfitting,-1,6,3,fc,block2.layer.0.convShortcut,0.7156801223754883,1,7
Standard,Rice2020Overfitting,-1,6,4,fc,block2.layer.3.conv2,0.5642778873443604,1,7
Standard,Rice2020Overfitting,-1,6,5,fc,block3.layer.1.conv2,0.6687307357788086,1,7
Standard,Rice2020Overfitting,-1,6,6,fc,fc,0.6211046576499939,1,7
Standard,Rice2020Overfitting,-1,1,1,conv1,conv1,0.9457240700721741,0,52
Standard,Rice2020Overfitting,-1,1,2,conv1,block1.layer.2.conv2,0.8897037506103516,0,52
Standard,Rice2020Overfitting,-1,1,3,conv1,block2.layer.0.convShortcut,0.9272730946540833,0,52
Standard,Rice2020Overfitting,-1,1,4,conv1,block2.layer.3.conv2,0.5783349871635437,0,52
Standard,Rice2020Overfitting,-1,1,5,conv1,block3.layer.1.conv2,0.5925049185752869,0,52
Standard,Rice2020Overfitting,-1,1,6,conv1,fc,0.49321040511131287,0,52
Standard,Rice2020Overfitting,-1,2,1,block1.layer.2.conv1,conv1,0.49474847316741943,0,52
Standard,Rice2020Overfitting,-1,2,2,block1.layer.2.conv1,block1.layer.2.conv2,0.8187851905822754,0,52
Standard,Rice2020Overfitting,-1,2,3,block1.layer.2.conv1,block2.layer.0.convShortcut,0.6422316431999207,0,52
Standard,Rice2020Overfitting,-1,2,4,block1.layer.2.conv1,block2.layer.3.conv2,0.7441083192825317,0,52
Standard,Rice2020Overfitting,-1,2,5,block1.layer.2.conv1,block3.layer.1.conv2,0.7255226969718933,0,52
Standard,Rice2020Overfitting,-1,2,6,block1.layer.2.conv1,fc,0.26705068349838257,0,52
Standard,Rice2020Overfitting,-1,3,1,block2.layer.0.conv2,conv1,0.5562959909439087,0,52
Standard,Rice2020Overfitting,-1,3,2,block2.layer.0.conv2,block1.layer.2.conv2,0.8604493141174316,0,52
Standard,Rice2020Overfitting,-1,3,3,block2.layer.0.conv2,block2.layer.0.convShortcut,0.719239354133606,0,52
Standard,Rice2020Overfitting,-1,3,4,block2.layer.0.conv2,block2.layer.3.conv2,0.7707343101501465,0,52
Standard,Rice2020Overfitting,-1,3,5,block2.layer.0.conv2,block3.layer.1.conv2,0.7634590864181519,0,52
Standard,Rice2020Overfitting,-1,3,6,block2.layer.0.conv2,fc,0.3599189519882202,0,52
Standard,Rice2020Overfitting,-1,4,1,block2.layer.3.conv1,conv1,0.5197754502296448,0,52
Standard,Rice2020Overfitting,-1,4,2,block2.layer.3.conv1,block1.layer.2.conv2,0.8274975419044495,0,52
Standard,Rice2020Overfitting,-1,4,3,block2.layer.3.conv1,block2.layer.0.convShortcut,0.6742230653762817,0,52
Standard,Rice2020Overfitting,-1,4,4,block2.layer.3.conv1,block2.layer.3.conv2,0.7624287605285645,0,52
Standard,Rice2020Overfitting,-1,4,5,block2.layer.3.conv1,block3.layer.1.conv2,0.743516743183136,0,52
Standard,Rice2020Overfitting,-1,4,6,block2.layer.3.conv1,fc,0.30851057171821594,0,52
Standard,Rice2020Overfitting,-1,5,1,block3.layer.1.conv1,conv1,0.47207874059677124,0,52
Standard,Rice2020Overfitting,-1,5,2,block3.layer.1.conv1,block1.layer.2.conv2,0.7284500002861023,0,52
